1111111111111111111	【学习工作赛道】进化学园 · 自我进化式沉浸式学习时间管理器	https://forum.trae.cn/t/topic/51015
3个_Agenter	T.A.R.E.V.I.S.：TRAE Agent 的桌面级具身智能终端	https://forum.trae.cn/t/topic/112447
4682B4	【硬件交互赛道】“芳莲” —— 硬件交互演示 demo	https://forum.trae.cn/t/topic/71232
9岁小孩哥勇闯AI黑客松	【学习工作赛道】趣学桌游——AI驱动的小学知识点桌游生成器，9岁小孩哥勇闯AI黑客松，请大家支持一下	https://forum.trae.cn/t/topic/43155
AI发明家	【生活娱乐赛道】命运塑造者（Fateshaper）——用 TRAE 工作流打造的卡牌冒险游戏	https://forum.trae.cn/t/topic/167305
Andy飞狗	【社会服务+社会公益】拾忆家谱：把回忆录喂给 AI，它帮我长出了一棵家族树	https://forum.trae.cn/t/topic/167846
AppleJack	【生活娱乐】AI驱动宠物造景可视化平台-宠景AI造景	https://forum.trae.cn/t/topic/146254
CC3	【学习工作+古籍活化赛道】视频Agent软件 - 降低Ai视频制作门槛与Ai运用新范式思考	https://forum.trae.cn/t/topic/47593
DaNie1	【生活娱乐赛道】出逃指令——给你的周末一个随机出口😍（初赛版）	https://forum.trae.cn/t/topic/147520
Damond	【生活娱乐赛道】旷野飙车·像素世界 —— 3D像素动物竞速游戏	https://forum.trae.cn/t/topic/120077
Dlcr	【学习工作】Mophy3D - 面向3D打印的 AI 原生参数化 3D 建模设计工具	https://forum.trae.cn/t/topic/150401
DoubleSaaaaaa_0804	【生活娱乐】《机体编号丢失》—— 当玩家发现自己是AI	https://forum.trae.cn/t/topic/45168
DuBaDu	极意钢琴(Pianoesis)——钢琴音乐沉浸式播放演奏软件	https://forum.trae.cn/t/topic/50537
Echoclip	【生活娱乐赛道】Echoclip —— 面向全球 Dota 2 玩家的智能教练（初赛）	https://forum.trae.cn/t/topic/41634
Emmavibe	Aero scribe	https://forum.trae.cn/t/topic/72146
HancksLiu	【生活娱乐】gameDie-从不报点之人的福音	https://forum.trae.cn/t/topic/51097
Jack20260707	【生活娱乐赛道】《机闹工厂》—— 像素无人车间模拟器	https://forum.trae.cn/t/topic/150607
Jaguarliu	【学习工作赛道】问阶AskPath：答案可以很快,学会需要慢一点	https://forum.trae.cn/t/topic/66448
Jax0715	【学习工作赛道】全知视野 - 3秒生成全景情报看板，把信息过载变成一目了然	https://forum.trae.cn/t/topic/113843
JayKenug	【学习工作赛道】创建专属于你的Mac灵动岛，TRAE任务动态丝滑上岛、vibecoding任意内容上岛、TRAE Work Design一键创建专属于你的电子宠物上岛 - TRAE FLOW	https://forum.trae.cn/t/topic/68311
JerryHsu	社会服务·社会公益 | 无声有市：一部手机，让无声摊位也能开口接单	https://forum.trae.cn/t/topic/148166
Jrenc	【硬件交互赛道】词元开物IterxAI PCB 雕刻机 +硬件 AI IDE—— 一句话生成硬件 Demo	https://forum.trae.cn/t/topic/167286
Kaen	【社会服务赛道】小老板开店前风险扫描器：让普通人在签约前，先看见一笔生意会怎么亏	https://forum.trae.cn/t/topic/95917
Kali-Linux	【学习工作赛道】任务岛 — 提高你的工作效率	https://forum.trae.cn/t/topic/71386
Kamfai	【学习工作赛道】网络智能运维中台 —— 网络架构师的AI智能运维中台	https://forum.trae.cn/t/topic/67763
Kevin2026	【学习工作赛道】apkgo-cloud —— 用 TRAE 跑通一次完整商业闭环：从发现一个真实痛点，到赚到第一桶金	https://forum.trae.cn/t/topic/113146
